step	event	detail	controller_sha
1	init	run_tag=, population_size=4	b233d7b98f69
2	promote	exp0001 -> elite/0: baseline frontier	b233d7b98f69
3	promote	exp0002 -> elite/1: frontier not full	b233d7b98f69
4	promote	exp0003 -> elite/2: frontier not full	b233d7b98f69
5	promote	exp0004 -> elite/3: frontier not full	b233d7b98f69
6	promote	exp0005 -> elite/0: strictly stronger than weakest elite	b233d7b98f69
7	discard	exp0006: did not clear promotion thresholds	b233d7b98f69
8	discard	exp0007: did not clear promotion thresholds	b233d7b98f69
9	discard	exp0008: did not clear promotion thresholds	b233d7b98f69
10	discard	exp0009: did not clear promotion thresholds	b233d7b98f69
11	discard	exp0010: did not clear promotion thresholds	b233d7b98f69
12	discard	exp0011: did not clear promotion thresholds	b233d7b98f69
13	discard	exp0012: did not clear promotion thresholds	b233d7b98f69
14	discard	exp0013: did not clear promotion thresholds	b233d7b98f69
15	discard	exp0014: did not clear promotion thresholds	b233d7b98f69
16	discard	exp0015: did not clear promotion thresholds	b233d7b98f69
17	discard	exp0016: did not clear promotion thresholds	b233d7b98f69
18	discard	exp0017: did not clear promotion thresholds	b233d7b98f69
19	discard	exp0018: did not clear promotion thresholds	b233d7b98f69
20	discard	exp0019: did not clear promotion thresholds	b233d7b98f69
21	promote	exp0020 -> elite/0: new global best	b233d7b98f69
22	promote	exp0021 -> elite/0: new global best	b233d7b98f69
23	promote	exp0022 -> elite/2: improved parent slot	b233d7b98f69
24	promote	exp0023 -> elite/1: improved parent slot	b233d7b98f69
25	promote	exp0024 -> elite/3: strictly stronger than weakest elite	b233d7b98f69
26	promote	exp0025 -> elite/3: improved parent slot	b233d7b98f69
27	discard	exp0026: did not clear promotion thresholds	b233d7b98f69
28	promote	exp0027 -> elite/1: improved parent slot	b233d7b98f69
29	promote	exp0028 -> elite/0: new global best	b233d7b98f69
30	promote	exp0029 -> elite/2: improved parent slot	b233d7b98f69
31	promote	exp0030 -> elite/0: new global best	b233d7b98f69
32	promote	exp0031 -> elite/3: improved parent slot	b233d7b98f69
33	promote	exp0032 -> elite/0: new global best	b233d7b98f69
34	promote	exp0033 -> elite/1: improved parent slot	b233d7b98f69
35	promote	exp0034 -> elite/0: new global best	b233d7b98f69
36	promote	exp0035 -> elite/2: improved parent slot	b233d7b98f69
37	promote	exp0036 -> elite/1: improved parent slot	b233d7b98f69
38	promote	exp0037 -> elite/3: improved parent slot	b233d7b98f69
39	discard	exp0038: did not clear promotion thresholds	b233d7b98f69
40	promote	exp0039 -> elite/1: improved parent slot	b233d7b98f69
41	discard	exp0040: crash	b233d7b98f69
42	promote	exp0041 -> elite/2: improved parent slot	b233d7b98f69
43	promote	exp0042 -> elite/0: new global best	b233d7b98f69
44	discard	exp0043: did not clear promotion thresholds	b233d7b98f69
45	promote	exp0044 -> elite/2: improved parent slot	b233d7b98f69
46	discard	exp0045: did not clear promotion thresholds	b233d7b98f69
47	promote	exp0046 -> elite/1: improved parent slot	b233d7b98f69
48	promote	exp0047 -> elite/2: improved parent slot	b233d7b98f69
49	discard	exp0048: did not clear promotion thresholds	b233d7b98f69
50	promote	exp0049 -> elite/3: keeps a materially different elite alive	b233d7b98f69
51	promote	exp0050 -> elite/3: keeps a materially different elite alive	b233d7b98f69
52	discard	exp0051: did not clear promotion thresholds	b233d7b98f69
53	promote	exp0052 -> elite/3: keeps a materially different elite alive	b233d7b98f69
54	discard	exp0053: crash	b233d7b98f69
55	promote	exp0054 -> elite/3: improved parent slot	b233d7b98f69
56	discard	exp0055: did not clear promotion thresholds	b233d7b98f69
57	discard	exp0056: did not clear promotion thresholds	b233d7b98f69
58	discard	exp0057: did not clear promotion thresholds	b233d7b98f69
59	discard	exp0058: did not clear promotion thresholds	b233d7b98f69
60	promote	exp0059 -> elite/2: new global best	b233d7b98f69
61	promote	exp0060 -> elite/3: improved parent slot	b233d7b98f69
62	promote	exp0061 -> elite/1: improved parent slot	b233d7b98f69
63	promote	exp0062 -> elite/0: strictly stronger than weakest elite	b233d7b98f69
64	promote	exp0063 -> elite/3: improved parent slot	b233d7b98f69
65	promote	exp0064 -> elite/3: strictly stronger than weakest elite	b233d7b98f69
66	discard	exp0065: did not clear promotion thresholds	b233d7b98f69
