Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SLSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.516613e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 16452ms | tok/sec: 31,867 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.855172 | lrm: 1.00 | dt: 310ms | tok/sec: 1,690,579 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.439593 | lrm: 1.00 | dt: 314ms | tok/sec: 1,671,777 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.968287 | lrm: 1.00 | dt: 344ms | tok/sec: 1,522,669 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.572867 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,709 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.243633 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,882 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.992877 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,244 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.781245 | lrm: 1.00 | dt: 331ms | tok/sec: 1,585,115 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.601299 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,577 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.449744 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,919 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.320173 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,518 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.212041 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,143 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.115752 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,628 | mfu: 40.5% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.029761 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,788 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.957369 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,010 | mfu: 41.3% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.894009 | lrm: 1.00 | dt: 335ms | tok/sec: 1,566,335 | mfu: 39.8% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.839275 | lrm: 1.00 | dt: 331ms | tok/sec: 1,585,488 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.785061 | lrm: 1.00 | dt: 331ms | tok/sec: 1,584,800 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.735927 | lrm: 1.00 | dt: 362ms | tok/sec: 1,449,129 | mfu: 36.9% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.689147 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,194 | mfu: 40.5% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.645864 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,449 | mfu: 41.0% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.605103 | lrm: 1.00 | dt: 365ms | tok/sec: 1,436,466 | mfu: 36.5% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.569210 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,956 | mfu: 41.9% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.531987 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,796 | mfu: 41.1% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.496188 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,719 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.462705 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,342 | mfu: 41.2% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.430731 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,301 | mfu: 41.4% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.400174 | lrm: 1.00 | dt: 347ms | tok/sec: 1,509,235 | mfu: 38.4% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.371981 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,573 | mfu: 41.0% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.341901 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,061 | mfu: 41.2% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.310047 | lrm: 1.00 | dt: 334ms | tok/sec: 1,571,832 | mfu: 40.0% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.279661 | lrm: 1.00 | dt: 326ms | tok/sec: 1,605,951 | mfu: 40.8% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.251493 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,473 | mfu: 41.4% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 5.224707 | lrm: 1.00 | dt: 333ms | tok/sec: 1,572,928 | mfu: 40.0% | epoch: 1 | remaining: 292s    
step 00034 (2.5%) | loss: 5.192513 | lrm: 1.00 | dt: 338ms | tok/sec: 1,550,309 | mfu: 39.4% | epoch: 1 | remaining: 292s    
step 00035 (2.7%) | loss: 5.165096 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,646 | mfu: 41.3% | epoch: 1 | remaining: 292s    
step 00036 (2.8%) | loss: 5.137429 | lrm: 1.00 | dt: 381ms | tok/sec: 1,377,856 | mfu: 35.0% | epoch: 1 | remaining: 291s    
step 00037 (2.9%) | loss: 5.109437 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,122 | mfu: 41.9% | epoch: 1 | remaining: 291s    
step 00038 (3.0%) | loss: 5.081102 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,219 | mfu: 40.3% | epoch: 1 | remaining: 291s    
step 00039 (3.1%) | loss: 5.053558 | lrm: 1.00 | dt: 335ms | tok/sec: 1,563,678 | mfu: 39.8% | epoch: 1 | remaining: 290s    
step 00040 (3.2%) | loss: 5.023699 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,282 | mfu: 41.4% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 4.995779 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,417 | mfu: 41.3% | epoch: 1 | remaining: 290s    
step 00042 (3.4%) | loss: 4.970760 | lrm: 1.00 | dt: 333ms | tok/sec: 1,576,544 | mfu: 40.1% | epoch: 1 | remaining: 289s    
step 00043 (3.5%) | loss: 4.942889 | lrm: 1.00 | dt: 364ms | tok/sec: 1,441,664 | mfu: 36.7% | epoch: 1 | remaining: 289s    
step 00044 (3.7%) | loss: 4.914516 | lrm: 1.00 | dt: 384ms | tok/sec: 1,365,193 | mfu: 34.7% | epoch: 1 | remaining: 289s    
step 00045 (3.8%) | loss: 4.887243 | lrm: 1.00 | dt: 316ms | tok/sec: 1,661,464 | mfu: 42.3% | epoch: 1 | remaining: 288s    
step 00046 (3.9%) | loss: 4.860958 | lrm: 1.00 | dt: 329ms | tok/sec: 1,596,002 | mfu: 40.6% | epoch: 1 | remaining: 288s    
step 00047 (4.0%) | loss: 4.825789 | lrm: 1.00 | dt: 333ms | tok/sec: 1,575,792 | mfu: 40.1% | epoch: 1 | remaining: 288s    
step 00048 (4.1%) | loss: 4.802681 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,386 | mfu: 40.9% | epoch: 1 | remaining: 287s    
step 00049 (4.2%) | loss: 4.772619 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,509 | mfu: 40.8% | epoch: 1 | remaining: 287s    
step 00050 (4.3%) | loss: 4.741706 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,635 | mfu: 40.8% | epoch: 1 | remaining: 287s    
step 00051 (4.4%) | loss: 4.715043 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,968 | mfu: 41.0% | epoch: 1 | remaining: 286s    
step 00052 (4.5%) | loss: 4.687459 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,136 | mfu: 41.2% | epoch: 1 | remaining: 286s    
step 00053 (4.7%) | loss: 4.661592 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,559 | mfu: 40.9% | epoch: 1 | remaining: 286s    
step 00054 (4.8%) | loss: 4.633751 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,338 | mfu: 41.2% | epoch: 1 | remaining: 285s    
step 00055 (4.9%) | loss: 4.605959 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,794 | mfu: 40.4% | epoch: 1 | remaining: 285s    
step 00056 (5.0%) | loss: 4.583081 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,942 | mfu: 40.5% | epoch: 1 | remaining: 285s    
step 00057 (5.1%) | loss: 4.558917 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,466 | mfu: 40.9% | epoch: 1 | remaining: 284s    
step 00058 (5.2%) | loss: 4.529580 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,290 | mfu: 40.7% | epoch: 1 | remaining: 284s    
step 00059 (5.3%) | loss: 4.505544 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,341 | mfu: 40.7% | epoch: 1 | remaining: 284s    
