Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 15564ms | tok/sec: 16,842 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.697276 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,960 | mfu: 45.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.090211 | lrm: 1.00 | dt: 161ms | tok/sec: 1,626,835 | mfu: 45.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.694072 | lrm: 1.00 | dt: 163ms | tok/sec: 1,610,892 | mfu: 45.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.406924 | lrm: 1.00 | dt: 162ms | tok/sec: 1,616,890 | mfu: 45.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.165755 | lrm: 1.00 | dt: 164ms | tok/sec: 1,593,640 | mfu: 44.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.963273 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,139 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.795593 | lrm: 1.00 | dt: 168ms | tok/sec: 1,559,783 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.655530 | lrm: 1.00 | dt: 163ms | tok/sec: 1,610,659 | mfu: 45.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.533931 | lrm: 1.00 | dt: 163ms | tok/sec: 1,608,731 | mfu: 45.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.433349 | lrm: 1.00 | dt: 164ms | tok/sec: 1,596,245 | mfu: 44.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.342995 | lrm: 1.00 | dt: 164ms | tok/sec: 1,593,855 | mfu: 44.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.258702 | lrm: 1.00 | dt: 177ms | tok/sec: 1,481,198 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.186969 | lrm: 1.00 | dt: 170ms | tok/sec: 1,538,030 | mfu: 43.0% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.120721 | lrm: 1.00 | dt: 166ms | tok/sec: 1,577,484 | mfu: 44.1% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.059213 | lrm: 1.00 | dt: 177ms | tok/sec: 1,477,456 | mfu: 41.3% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 6.003039 | lrm: 1.00 | dt: 163ms | tok/sec: 1,607,517 | mfu: 45.0% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.948610 | lrm: 1.00 | dt: 165ms | tok/sec: 1,584,497 | mfu: 44.3% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.900149 | lrm: 1.00 | dt: 174ms | tok/sec: 1,507,795 | mfu: 42.2% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.855252 | lrm: 1.00 | dt: 181ms | tok/sec: 1,444,577 | mfu: 40.4% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.811622 | lrm: 1.00 | dt: 166ms | tok/sec: 1,582,791 | mfu: 44.3% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.773258 | lrm: 1.00 | dt: 169ms | tok/sec: 1,548,228 | mfu: 43.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.739115 | lrm: 1.00 | dt: 163ms | tok/sec: 1,607,442 | mfu: 45.0% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.705715 | lrm: 1.00 | dt: 166ms | tok/sec: 1,576,815 | mfu: 44.1% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.674144 | lrm: 1.00 | dt: 171ms | tok/sec: 1,530,619 | mfu: 42.8% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.642435 | lrm: 1.00 | dt: 171ms | tok/sec: 1,530,408 | mfu: 42.8% | epoch: 1 | remaining: 297s    
step 00026 (0.8%) | loss: 5.612216 | lrm: 1.00 | dt: 170ms | tok/sec: 1,545,054 | mfu: 43.2% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.581852 | lrm: 1.00 | dt: 167ms | tok/sec: 1,572,037 | mfu: 44.0% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.554904 | lrm: 1.00 | dt: 166ms | tok/sec: 1,575,859 | mfu: 44.1% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.528236 | lrm: 1.00 | dt: 167ms | tok/sec: 1,573,941 | mfu: 44.0% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.499126 | lrm: 1.00 | dt: 172ms | tok/sec: 1,521,491 | mfu: 42.6% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.473287 | lrm: 1.00 | dt: 179ms | tok/sec: 1,465,708 | mfu: 41.0% | epoch: 1 | remaining: 296s    
step 00032 (1.2%) | loss: 5.448885 | lrm: 1.00 | dt: 165ms | tok/sec: 1,585,688 | mfu: 44.4% | epoch: 1 | remaining: 296s    
step 00033 (1.2%) | loss: 5.425420 | lrm: 1.00 | dt: 169ms | tok/sec: 1,552,914 | mfu: 43.4% | epoch: 1 | remaining: 296s    
step 00034 (1.3%) | loss: 5.400923 | lrm: 1.00 | dt: 181ms | tok/sec: 1,448,240 | mfu: 40.5% | epoch: 1 | remaining: 296s    
step 00035 (1.4%) | loss: 5.375697 | lrm: 1.00 | dt: 164ms | tok/sec: 1,594,993 | mfu: 44.6% | epoch: 1 | remaining: 296s    
