Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.443389e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011347 | lrm: 1.00 | dt: 9229ms | tok/sec: 14,202 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.180575 | lrm: 1.00 | dt: 135ms | tok/sec: 970,108 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.974311 | lrm: 1.00 | dt: 138ms | tok/sec: 952,327 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.894350 | lrm: 1.00 | dt: 137ms | tok/sec: 954,611 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.622731 | lrm: 1.00 | dt: 136ms | tok/sec: 961,875 | mfu: 43.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.321517 | lrm: 1.00 | dt: 136ms | tok/sec: 960,248 | mfu: 43.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.087211 | lrm: 1.00 | dt: 137ms | tok/sec: 953,531 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.876898 | lrm: 1.00 | dt: 158ms | tok/sec: 829,378 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.685863 | lrm: 1.00 | dt: 143ms | tok/sec: 918,652 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.498418 | lrm: 1.00 | dt: 140ms | tok/sec: 938,867 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.320110 | lrm: 1.00 | dt: 138ms | tok/sec: 949,595 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.155800 | lrm: 1.00 | dt: 138ms | tok/sec: 948,659 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 7.005952 | lrm: 1.00 | dt: 139ms | tok/sec: 943,636 | mfu: 42.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.868531 | lrm: 1.00 | dt: 141ms | tok/sec: 928,555 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.741638 | lrm: 1.00 | dt: 151ms | tok/sec: 870,653 | mfu: 39.1% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.630203 | lrm: 1.00 | dt: 146ms | tok/sec: 895,179 | mfu: 40.2% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.530441 | lrm: 1.00 | dt: 141ms | tok/sec: 928,729 | mfu: 41.7% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 6.433932 | lrm: 1.00 | dt: 140ms | tok/sec: 937,565 | mfu: 42.1% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 6.348331 | lrm: 1.00 | dt: 138ms | tok/sec: 947,492 | mfu: 42.5% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 6.270954 | lrm: 1.00 | dt: 139ms | tok/sec: 944,297 | mfu: 42.4% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 6.203586 | lrm: 1.00 | dt: 142ms | tok/sec: 924,299 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 6.141753 | lrm: 1.00 | dt: 147ms | tok/sec: 893,401 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 6.085245 | lrm: 1.00 | dt: 146ms | tok/sec: 898,968 | mfu: 40.4% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 6.030637 | lrm: 1.00 | dt: 141ms | tok/sec: 929,137 | mfu: 41.7% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.983183 | lrm: 1.00 | dt: 140ms | tok/sec: 936,805 | mfu: 42.1% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.932143 | lrm: 1.00 | dt: 138ms | tok/sec: 946,726 | mfu: 42.5% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.891628 | lrm: 1.00 | dt: 139ms | tok/sec: 941,101 | mfu: 42.3% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.855746 | lrm: 1.00 | dt: 143ms | tok/sec: 916,007 | mfu: 41.1% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.822599 | lrm: 1.00 | dt: 146ms | tok/sec: 895,219 | mfu: 40.2% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.787630 | lrm: 1.00 | dt: 144ms | tok/sec: 911,270 | mfu: 40.9% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.755451 | lrm: 1.00 | dt: 141ms | tok/sec: 927,507 | mfu: 41.7% | epoch: 1 | remaining: 297s    
step 00031 (0.9%) | loss: 5.725463 | lrm: 1.00 | dt: 140ms | tok/sec: 936,957 | mfu: 42.1% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 5.696092 | lrm: 1.00 | dt: 139ms | tok/sec: 942,468 | mfu: 42.3% | epoch: 1 | remaining: 297s    
step 00033 (1.0%) | loss: 5.672309 | lrm: 1.00 | dt: 140ms | tok/sec: 939,530 | mfu: 42.2% | epoch: 1 | remaining: 297s    
step 00034 (1.1%) | loss: 5.644674 | lrm: 1.00 | dt: 141ms | tok/sec: 929,322 | mfu: 41.7% | epoch: 1 | remaining: 297s    
step 00035 (1.1%) | loss: 5.619455 | lrm: 1.00 | dt: 145ms | tok/sec: 905,368 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00036 (1.2%) | loss: 5.599077 | lrm: 1.00 | dt: 145ms | tok/sec: 905,475 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00037 (1.2%) | loss: 5.574498 | lrm: 1.00 | dt: 141ms | tok/sec: 928,393 | mfu: 41.7% | epoch: 1 | remaining: 296s    
step 00038 (1.3%) | loss: 5.552727 | lrm: 1.00 | dt: 140ms | tok/sec: 935,311 | mfu: 42.0% | epoch: 1 | remaining: 296s    
step 00039 (1.3%) | loss: 5.530468 | lrm: 1.00 | dt: 139ms | tok/sec: 942,953 | mfu: 42.3% | epoch: 1 | remaining: 296s    
step 00040 (1.4%) | loss: 5.508192 | lrm: 1.00 | dt: 139ms | tok/sec: 940,390 | mfu: 42.2% | epoch: 1 | remaining: 296s    
step 00041 (1.4%) | loss: 5.487294 | lrm: 1.00 | dt: 141ms | tok/sec: 930,831 | mfu: 41.8% | epoch: 1 | remaining: 296s    
step 00042 (1.5%) | loss: 5.469685 | lrm: 1.00 | dt: 144ms | tok/sec: 912,635 | mfu: 41.0% | epoch: 1 | remaining: 295s    
step 00043 (1.5%) | loss: 5.447620 | lrm: 1.00 | dt: 147ms | tok/sec: 890,448 | mfu: 40.0% | epoch: 1 | remaining: 295s    
step 00044 (1.6%) | loss: 5.429117 | lrm: 1.00 | dt: 142ms | tok/sec: 921,029 | mfu: 41.4% | epoch: 1 | remaining: 295s    
step 00045 (1.6%) | loss: 5.412912 | lrm: 1.00 | dt: 141ms | tok/sec: 928,884 | mfu: 41.7% | epoch: 1 | remaining: 295s    
step 00046 (1.7%) | loss: 5.397012 | lrm: 1.00 | dt: 141ms | tok/sec: 930,666 | mfu: 41.8% | epoch: 1 | remaining: 295s    
step 00047 (1.7%) | loss: 5.378010 | lrm: 1.00 | dt: 140ms | tok/sec: 935,119 | mfu: 42.0% | epoch: 1 | remaining: 295s    
step 00048 (1.7%) | loss: 5.361494 | lrm: 1.00 | dt: 141ms | tok/sec: 926,360 | mfu: 41.6% | epoch: 1 | remaining: 295s    
step 00049 (1.8%) | loss: 5.345151 | lrm: 1.00 | dt: 142ms | tok/sec: 920,678 | mfu: 41.3% | epoch: 1 | remaining: 294s    
