Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 25,165,824
  lm_head                 : 4,194,304
  transformer_matrices    : 37,750,272
  scalars                 : 24
  total                   : 71,304,728
Estimated FLOPs per token: 2.964941e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011263 | lrm: 1.00 | dt: 22234ms | tok/sec: 11,790 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.697472 | lrm: 1.00 | dt: 212ms | tok/sec: 1,237,031 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.063843 | lrm: 1.00 | dt: 214ms | tok/sec: 1,226,763 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.686873 | lrm: 1.00 | dt: 215ms | tok/sec: 1,219,304 | mfu: 36.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.409671 | lrm: 1.00 | dt: 216ms | tok/sec: 1,216,241 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.174114 | lrm: 1.00 | dt: 234ms | tok/sec: 1,118,737 | mfu: 33.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.968387 | lrm: 1.00 | dt: 217ms | tok/sec: 1,207,788 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.798275 | lrm: 1.00 | dt: 216ms | tok/sec: 1,212,122 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.656716 | lrm: 1.00 | dt: 216ms | tok/sec: 1,214,546 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.533126 | lrm: 1.00 | dt: 230ms | tok/sec: 1,141,428 | mfu: 34.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.429906 | lrm: 1.00 | dt: 223ms | tok/sec: 1,174,722 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.333819 | lrm: 1.00 | dt: 217ms | tok/sec: 1,209,233 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.245213 | lrm: 1.00 | dt: 217ms | tok/sec: 1,206,473 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.168077 | lrm: 1.00 | dt: 222ms | tok/sec: 1,181,576 | mfu: 35.4% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.097693 | lrm: 1.00 | dt: 224ms | tok/sec: 1,168,187 | mfu: 35.0% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.031333 | lrm: 1.00 | dt: 219ms | tok/sec: 1,198,145 | mfu: 35.9% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 5.970747 | lrm: 1.00 | dt: 217ms | tok/sec: 1,209,767 | mfu: 36.2% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.910335 | lrm: 1.00 | dt: 219ms | tok/sec: 1,195,275 | mfu: 35.8% | epoch: 1 | remaining: 298s    
step 00018 (0.5%) | loss: 5.855839 | lrm: 1.00 | dt: 223ms | tok/sec: 1,177,798 | mfu: 35.3% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 5.803118 | lrm: 1.00 | dt: 224ms | tok/sec: 1,171,705 | mfu: 35.1% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 5.751982 | lrm: 1.00 | dt: 221ms | tok/sec: 1,188,503 | mfu: 35.6% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.703971 | lrm: 1.00 | dt: 217ms | tok/sec: 1,208,578 | mfu: 36.2% | epoch: 1 | remaining: 298s    
step 00022 (0.8%) | loss: 5.659758 | lrm: 1.00 | dt: 222ms | tok/sec: 1,182,245 | mfu: 35.4% | epoch: 1 | remaining: 297s    
step 00023 (0.9%) | loss: 5.616777 | lrm: 1.00 | dt: 224ms | tok/sec: 1,172,412 | mfu: 35.1% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 5.575419 | lrm: 1.00 | dt: 221ms | tok/sec: 1,185,227 | mfu: 35.5% | epoch: 1 | remaining: 297s    
step 00025 (1.0%) | loss: 5.533090 | lrm: 1.00 | dt: 219ms | tok/sec: 1,198,213 | mfu: 35.9% | epoch: 1 | remaining: 297s    
step 00026 (1.1%) | loss: 5.491302 | lrm: 1.00 | dt: 219ms | tok/sec: 1,196,256 | mfu: 35.8% | epoch: 1 | remaining: 296s    
step 00027 (1.2%) | loss: 5.450004 | lrm: 1.00 | dt: 217ms | tok/sec: 1,205,633 | mfu: 36.1% | epoch: 1 | remaining: 296s    
step 00028 (1.2%) | loss: 5.411896 | lrm: 1.00 | dt: 219ms | tok/sec: 1,198,287 | mfu: 35.9% | epoch: 1 | remaining: 296s    
step 00029 (1.3%) | loss: 5.375906 | lrm: 1.00 | dt: 219ms | tok/sec: 1,195,483 | mfu: 35.8% | epoch: 1 | remaining: 296s    
step 00030 (1.4%) | loss: 5.336254 | lrm: 1.00 | dt: 218ms | tok/sec: 1,204,821 | mfu: 36.1% | epoch: 1 | remaining: 296s    
