exp_id	commit	parent1	parent2	val_bpb	memory_gb	params_m	status	mutation_kind	description
exp0001	a9e3b96	-	-	0.997811	44.0	50.3	elite	baseline	baseline (depth=8, d=512, SSSL window, MATRIX_LR=0.04)
exp0002	1ba85f6	elite/0	-	0.997022	44.0	50.3	elite	mutate	bump MATRIX_LR 0.04 -> 0.05
exp0003	6eda871	elite/1	-	0.999407	44.0	50.3	discard	mutate	WARMDOWN_RATIO 0.5 -> 0.3 from baseline
exp0004	debfaba	elite/0	-	0.996775	44.0	50.3	elite	mutate	MATRIX_LR 0.05 -> 0.06 from elite/0
exp0005	e42026a	elite/0	-	0.999104	44.0	50.3	discard	mutate	MATRIX_LR 0.06 -> 0.07 from elite/0 (overshoot)
exp0006	f155ead	elite/1	-	1.000361	44.0	50.3	discard	mutate	WEIGHT_DECAY 0.2 -> 0.05 from baseline
exp0007	a92b812	elite/0	-	0.995899	44.0	50.3	elite	mutate	UNEMBEDDING_LR 0.004 -> 0.008 from elite/0
exp0008	e8dc04b	elite/1	elite/0	0.995873	44.0	50.3	elite	crossover	baseline + UNEMBEDDING_LR=0.008 only (no MATRIX_LR change)
exp0009	5f636ad	elite/0	-	0.995600	44.0	50.3	elite	mutate	UNEMBEDDING_LR 0.008 -> 0.012 from elite/0
exp0010	58b1d95	elite/0	-	0.997275	44.0	50.3	discard	mutate	UNEMBEDDING_LR 0.012 -> 0.016 from elite/0 (overshoot)
exp0011	ebf4edb	elite/0	exp0007	0.996530	44.0	50.3	discard	crossover	elite/0 (UNEMBEDDING_LR=0.012) + MATRIX_LR=0.06 from past elite
exp0012	3df3b21	elite/1	-	0.997998	44.0	50.3	discard	mutate	EMBEDDING_LR 0.6 -> 0.9 from baseline (no effect)
exp0013	e592c2c	elite/0	-	1.003005	66.5	85.9	discard	mutate	DEPTH 8 -> 10 from elite/0 (undertrained, 559 steps)
exp0014	78c24ac	elite/0	-	0.989614	43.9	50.3	elite	mutate	TOTAL_BATCH_SIZE 2**19 -> 2**18 from elite/0 (1807 steps, big win)
exp0015	dd51844	elite/1	elite/0	0.995455	22.2	50.3	discard	crossover	elite/0 + TOTAL=2**17, DB=64 (smaller batch hurts)
exp0016	8b8c6b4	elite/0	-	0.987732	43.9	50.3	elite	mutate	UNEMBEDDING_LR 0.012 -> 0.016 from elite/0 (re-sweep)
exp0017	64e0b91	elite/0	-	0.989386	43.9	50.3	discard	mutate	UNEMBEDDING_LR 0.016 -> 0.020 from elite/0 (overshoot)
exp0018	1bd65e6	elite/1	elite/0	0.991002	43.9	50.3	discard	crossover	elite/0 + MATRIX_LR=0.05 (still hurts at new regime)
