Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 44,237,600
  scalars                 : 18
  total                   : 80,937,778
Estimated FLOPs per token: 3.912547e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011048 | lrm: 1.00 | dt: 10254ms | tok/sec: 25,564 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.534912 | lrm: 1.00 | dt: 236ms | tok/sec: 1,110,243 | mfu: 43.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.888686 | lrm: 1.00 | dt: 243ms | tok/sec: 1,076,785 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.513570 | lrm: 1.00 | dt: 245ms | tok/sec: 1,070,502 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.225565 | lrm: 1.00 | dt: 266ms | tok/sec: 986,834 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.904412 | lrm: 1.00 | dt: 251ms | tok/sec: 1,044,530 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.600635 | lrm: 1.00 | dt: 245ms | tok/sec: 1,068,708 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.341838 | lrm: 1.00 | dt: 246ms | tok/sec: 1,067,748 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.117871 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,334 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.922380 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,488 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.759577 | lrm: 1.00 | dt: 249ms | tok/sec: 1,054,861 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.615963 | lrm: 1.00 | dt: 247ms | tok/sec: 1,059,964 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.489132 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,660 | mfu: 39.8% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.383562 | lrm: 1.00 | dt: 254ms | tok/sec: 1,031,607 | mfu: 40.8% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.290565 | lrm: 1.00 | dt: 250ms | tok/sec: 1,048,094 | mfu: 41.4% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.206108 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,376 | mfu: 41.1% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 6.129833 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,459 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 6.058312 | lrm: 0.99 | dt: 252ms | tok/sec: 1,039,218 | mfu: 41.1% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.994536 | lrm: 0.99 | dt: 251ms | tok/sec: 1,044,074 | mfu: 41.3% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.936808 | lrm: 0.99 | dt: 253ms | tok/sec: 1,034,337 | mfu: 40.9% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 5.883079 | lrm: 0.99 | dt: 252ms | tok/sec: 1,038,726 | mfu: 41.1% | epoch: 1 | remaining: 297s    
step 00021 (0.8%) | loss: 5.835934 | lrm: 0.99 | dt: 252ms | tok/sec: 1,038,414 | mfu: 41.1% | epoch: 1 | remaining: 297s    
step 00022 (0.9%) | loss: 5.793235 | lrm: 0.99 | dt: 253ms | tok/sec: 1,034,461 | mfu: 40.9% | epoch: 1 | remaining: 297s    
step 00023 (1.0%) | loss: 5.753179 | lrm: 0.99 | dt: 253ms | tok/sec: 1,035,606 | mfu: 40.9% | epoch: 1 | remaining: 297s    
step 00024 (1.1%) | loss: 5.718074 | lrm: 0.99 | dt: 254ms | tok/sec: 1,030,453 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00025 (1.2%) | loss: 5.682034 | lrm: 0.99 | dt: 252ms | tok/sec: 1,038,475 | mfu: 41.1% | epoch: 1 | remaining: 296s    
step 00026 (1.3%) | loss: 5.647287 | lrm: 0.99 | dt: 255ms | tok/sec: 1,027,085 | mfu: 40.6% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 5.615160 | lrm: 0.99 | dt: 253ms | tok/sec: 1,034,103 | mfu: 40.9% | epoch: 1 | remaining: 296s    
step 00028 (1.4%) | loss: 5.588308 | lrm: 0.99 | dt: 257ms | tok/sec: 1,018,434 | mfu: 40.3% | epoch: 1 | remaining: 295s    
step 00029 (1.5%) | loss: 5.561395 | lrm: 0.98 | dt: 255ms | tok/sec: 1,027,741 | mfu: 40.6% | epoch: 1 | remaining: 295s    
step 00030 (1.6%) | loss: 5.529932 | lrm: 0.98 | dt: 252ms | tok/sec: 1,038,827 | mfu: 41.1% | epoch: 1 | remaining: 295s    
